query,title,year,venue,authors,doi,url,type,source,score,tags
micro slip tactile manipulation,Design of a 3-D Tactile Sensing Array for Incipient Slip Detection in Robotic Dexterous Manipulation,2024,IEEE Transactions on Instrumentation and Measurement,Jianping Yu; Shengjie Yao; Xin Li; Abdul Ghaffar; Zhehe Yao,10.1109/tim.2024.3436064,https://doi.org/10.1109/tim.2024.3436064,journal-article,Crossref,5,slip;tactile;manipulation
dexterous grasp pose estimation,Task-Oriented Dexterous Hand Pose Synthesis Using Differentiable Grasp Wrench Boundary Estimator,2024,2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),Jiayi Chen; Yuxing Chen; Jialiang Zhang; He Wang,10.1109/iros58592.2024.10802652,https://doi.org/10.1109/iros58592.2024.10802652,proceedings-article,Crossref,5,contact;manipulation;dynamics
latent state manipulation tactile sensing,Dexterous In-Hand Manipulation of Slender Cylindrical Objects Through Deep Reinforcement Learning with Tactile Sensing,2023,,wenbin hu; Bidan Huang; Zhibin (Alex) Li; Yu Zheng; Wang  Wei Lee; Sicheng Yang,10.2139/ssrn.4674022,https://doi.org/10.2139/ssrn.4674022,posted-content,Crossref,5,tactile;contact;manipulation
contact state estimation dexterous manipulation,Sensorimotor control for dexterous grasping – inspiration from human hand,2022,"Tactile Sensing, Skill Learning, and Robotic Dexterous Manipulation",Ke Li,10.1016/b978-0-32-390445-2.00014-3,https://doi.org/10.1016/b978-0-32-390445-2.00014-3,book-chapter,Crossref,5,tactile;manipulation
force tactile proprioceptive manipulation,From human to robot grasping: force and kinematic synergies,2022,"Tactile Sensing, Skill Learning, and Robotic Dexterous Manipulation",Abdeldjallil Naceri; Nicolò Boccardo; Lorenzo Lombardi; Andrea Marinelli; Diego Hidalgo; Sami Haddadin; Matteo Laffranchi; Lorenzo De Michieli,10.1016/b978-0-32-390445-2.00015-5,https://doi.org/10.1016/b978-0-32-390445-2.00015-5,book-chapter,Crossref,5,tactile;contact;manipulation
robot hand object pose force sensing,Dexterous Object Manipulation with an Anthropomorphic Robot Hand via Natural Hand Pose Transformer and Deep Reinforcement Learning,2022,Applied Sciences,Patricio Rivera Lopez; Ji-Heon Oh; Jin Gyun Jeong; Hwanseok Jung; Jin Hyuk Lee; Ismael Espinoza Jaramillo; Channabasava Chola; Won Hee Lee,10.3390/app13010379,https://doi.org/10.3390/app13010379,journal-article,Crossref,5,contact;manipulation;dynamics
object pose contact state estimation manipulation,Contact-based in-hand pose estimation using Bayesian state estimation and particle filtering,2020,2020 IEEE International Conference on Robotics and Automation (ICRA),Felix von Drigalski; Shohei Taniguchi; Robert Lee; Takamitsu Matsubara; Masashi Hamaya; Kazutoshi Tanaka; Yoshihisa Ijiri,10.1109/icra40945.2020.9196640,https://doi.org/10.1109/icra40945.2020.9196640,proceedings-article,Crossref,5,contact;state;manipulation;dynamics
force tactile proprioceptive manipulation,Magnetic-based Soft Tactile Sensors with Deformable Continuous Force Transfer Medium for Resolving Contact Locations in Robotic Grasping and Manipulation,2019,Sensors,Alireza Mohammadi; Yangmengfei Xu; Ying Tan; Peter Choong; Denny Oetomo,10.3390/s19224925,https://doi.org/10.3390/s19224925,journal-article,Crossref,5,tactile;contact;manipulation
tactile slip detection robotic grasp,Direction of Slip Detection for Adaptive Grasp Force Control with a Dexterous Robotic Hand,2018,2018 IEEE/ASME International Conference on Advanced Intelligent Mechatronics (AIM),Moaed A. Abd; Iker J. Gonzalez; Thomas C. Colestock; Benjamin A. Kent; Erik D. Engeberg,10.1109/aim.2018.8452704,https://doi.org/10.1109/aim.2018.8452704,proceedings-article,Crossref,5,slip;contact;manipulation
haptic sensing manipulation robot,Dexterous Manipulation: From High-Level Representation to Low-Level Coordination of Digit Forces and Positions,2016,Springer Series on Touch and Haptic Systems,Qiushi Fu; Marco Santello,10.1007/978-3-319-26706-7_2,https://doi.org/10.1007/978-3-319-26706-7_2,book-chapter,Crossref,5,tactile;contact;manipulation
haptic sensing manipulation robot,Quasi-Static Analysis of Synergistically Underactuated Robotic Hands in Grasping and Manipulation Tasks,2016,Springer Series on Touch and Haptic Systems,Edoardo Farnioli; Marco Gabiccini; Antonio Bicchi,10.1007/978-3-319-26706-7_13,https://doi.org/10.1007/978-3-319-26706-7_13,book-chapter,Crossref,5,tactile;manipulation
contact state estimation dexterous manipulation,Tactile sensor based varying contact point manipulation strategy for dexterous robot hand manipulating unknown objects,2012,2012 IEEE/RSJ International Conference on Intelligent Robots and Systems,Yuan-Fei Zhang; Hong Liu,10.1109/iros.2012.6385465,https://doi.org/10.1109/iros.2012.6385465,proceedings-article,Crossref,5,tactile;contact;manipulation
micro slip dexterous manipulation,High sensitivity slip sensor using pressure conductive rubber for dexterous grasp and manipulation,2010,2010 IEEE Sensors,Seiichi Teshigawara; Satoru Shimizu; Takahiro Tsutsumi; Yosuke Suzuki; Aiguo Ming; Makoto Shimojo; Masatoshi Ishikawa,10.1109/icsens.2010.5690469,https://doi.org/10.1109/icsens.2010.5690469,proceedings-article,Crossref,5,slip;contact;manipulation
slip detection grasp control robot,Grasping force control of multi-fingered robot hand based on slip detection sing tactile sensor,2008,2008 SICE Annual Conference,Daisuke Gunji; Yoshitomo Mizoguch; Seiichi Teshigawara; Aiguo Ming; Akio Namiki; Masatoshi Ishikawa; Makoto Shimojo,10.1109/sice.2008.4654781,https://doi.org/10.1109/sice.2008.4654781,proceedings-article,Crossref,5,slip;tactile;contact;manipulation
slip detection grasp control robot,Grasping force control of multi-fingered robot hand based on slip detection using tactile sensor,2008,2008 IEEE International Conference on Robotics and Automation,Daisuke Gunji; Yoshitomo Mizoguchi; Seiichi Teshigawara; Aiguo Ming; Akio Namiki; Masatoshi Ishikawaand; Makoto Shimojo,10.1109/robot.2008.4543605,https://doi.org/10.1109/robot.2008.4543605,proceedings-article,Crossref,5,slip;tactile;contact;manipulation
micro slip tactile manipulation,A Bioinspired Multifunctional Adhesive-Tactile ESkin Enabled for Adaptive Grasping and Slip Detection,None,,,10.1021/acsami.6c00064.s004,https://doi.org/10.1021/acsami.6c00064.s004,component,Crossref,4,slip;tactile;manipulation
micro slip tactile manipulation,A Bioinspired Multifunctional Adhesive-Tactile ESkin Enabled for Adaptive Grasping and Slip Detection,None,,,10.1021/acsami.6c00064.s001,https://doi.org/10.1021/acsami.6c00064.s001,component,Crossref,4,slip;tactile;manipulation
micro slip tactile manipulation,A Bioinspired Multifunctional Adhesive-Tactile ESkin Enabled for Adaptive Grasping and Slip Detection,None,,,10.1021/acsami.6c00064.s006,https://doi.org/10.1021/acsami.6c00064.s006,component,Crossref,4,slip;tactile;manipulation
micro slip tactile manipulation,A Bioinspired Multifunctional Adhesive-Tactile ESkin Enabled for Adaptive Grasping and Slip Detection,None,,,10.1021/acsami.6c00064.s003,https://doi.org/10.1021/acsami.6c00064.s003,component,Crossref,4,slip;tactile;manipulation
micro slip tactile manipulation,A Bioinspired Multifunctional Adhesive-Tactile ESkin Enabled for Adaptive Grasping and Slip Detection,None,,,10.1021/acsami.6c00064.s002,https://doi.org/10.1021/acsami.6c00064.s002,component,Crossref,4,slip;tactile;manipulation
micro slip tactile manipulation,A Bioinspired Multifunctional Adhesive-Tactile ESkin Enabled for Adaptive Grasping and Slip Detection,None,,,10.1021/acsami.6c00064.s005,https://doi.org/10.1021/acsami.6c00064.s005,component,Crossref,4,slip;tactile;manipulation
micro slip tactile manipulation,FORTE: Tactile Force and Slip Sensing on Compliant Fingers for Delicate Manipulation_supp1-3662618.mp4,None,,Siqi Shang,10.1109/lra.2026.3662618/mm2,https://doi.org/10.1109/lra.2026.3662618/mm2,component,Crossref,4,slip;tactile;contact;manipulation
micro slip tactile manipulation,FORTE: Tactile Force and Slip Sensing on Compliant Fingers for Delicate Manipulation_supp2-3662618.mp4,None,,Siqi Shang,10.1109/lra.2026.3662618/mm1,https://doi.org/10.1109/lra.2026.3662618/mm1,component,Crossref,4,slip;tactile;contact;manipulation
micro slip tactile manipulation,FORTE: Tactile Force and Slip Sensing on Compliant Fingers for Delicate Manipulation_supp3-3662618.mp4,None,,Siqi Shang,10.1109/lra.2026.3662618/mm4,https://doi.org/10.1109/lra.2026.3662618/mm4,component,Crossref,4,slip;tactile;contact;manipulation
micro slip tactile manipulation,FORTE: Tactile Force and Slip Sensing on Compliant Fingers for Delicate Manipulation_supp4-3662618.mp4,None,,Siqi Shang,10.1109/lra.2026.3662618/mm3,https://doi.org/10.1109/lra.2026.3662618/mm3,component,Crossref,4,slip;tactile;contact;manipulation
micro slip tactile manipulation,Fully Printed Flexible Fingerprint-like Three-Axis Tactile and Slip Force and Temperature Sensors for Artificial Skin,None,,,10.1021/nn506293y.s001,https://doi.org/10.1021/nn506293y.s001,component,Crossref,4,slip;tactile;contact
micro slip tactile manipulation,Bi-Touch: Bimanual Tactile Manipulation with Sim-to-Real Deep Reinforcement Learning_supp2-3295991.mp4,None,,Yijiong Lin,10.1109/lra.2023.3295991/mm1,https://doi.org/10.1109/lra.2023.3295991/mm1,component,Crossref,4,tactile;contact;manipulation
micro slip tactile manipulation,Bi-Touch: Bimanual Tactile Manipulation with Sim-to-Real Deep Reinforcement Learning_supp1-3295991.mp4,None,,Yijiong Lin,10.1109/lra.2023.3295991/mm2,https://doi.org/10.1109/lra.2023.3295991/mm2,component,Crossref,4,tactile;contact;manipulation
micro slip tactile manipulation,DIH-Tele: Dexterous In-Hand Teleoperation Framework for Learning Multiobjects Manipulation With Tactile Sensing_supp1-3532653.mp4,None,,Jianshu Zhou,10.1109/tmech.2025.3532653/mm1,https://doi.org/10.1109/tmech.2025.3532653/mm1,component,Crossref,4,tactile;manipulation
micro slip tactile manipulation,"TACSEM: Tactile Sensing, 3-D State Estimation and In-Hand Manipulation of a Soft Hand_supp1-3632966.pdf",None,,Qingdu Li,10.1109/tmech.2025.3632966/mm1,https://doi.org/10.1109/tmech.2025.3632966/mm1,component,Crossref,4,tactile;state;manipulation
slip state estimation robot manipulation,Controlled slip: an approach within planning dexterous manipulation in three-fingered grasp,None,Proceedings of the 1997 IEEE/RSJ International Conference on Intelligent Robot and Systems. Innovative Robotics for Real-World Applications. IROS '97,S. Payandeh,10.1109/iros.1997.649065,https://doi.org/10.1109/iros.1997.649065,proceedings-article,Crossref,4,slip;manipulation
contact state estimation dexterous manipulation,Robotic grasping via dexterous in-hand manipulation : approaches to effective bin picking,None,,Tierui He,10.14711/thesis-991013080355903412,https://doi.org/10.14711/thesis-991013080355903412,dissertation,Crossref,4,manipulation
contact state estimation dexterous manipulation,Tactile-Driven Dexterous In-Hand Writing via Extrinsic Contact Sensing_supp3-3589168.mp4,None,,Bidan Huang,10.1109/lra.2025.3589168/mm1,https://doi.org/10.1109/lra.2025.3589168/mm1,component,Crossref,4,tactile;contact;manipulation
contact state estimation dexterous manipulation,Tactile-Driven Dexterous In-Hand Writing via Extrinsic Contact Sensing_supp1-3589168.mp4,None,,Bidan Huang,10.1109/lra.2025.3589168/mm3,https://doi.org/10.1109/lra.2025.3589168/mm3,component,Crossref,4,tactile;contact;manipulation
contact state estimation dexterous manipulation,Tactile-Driven Dexterous In-Hand Writing via Extrinsic Contact Sensing_supp2-3589168.mp4,None,,Bidan Huang,10.1109/lra.2025.3589168/mm2,https://doi.org/10.1109/lra.2025.3589168/mm2,component,Crossref,4,tactile;contact;manipulation
contact rich manipulation state estimation,General-Purpose Sim2Real Protocol for Learning Contact-Rich Manipulation With Marker-Based Visuotactile Sensors_supp1-3352969.mp4,None,,Jing Xu,10.1109/tro.2024.3352969/mm1,https://doi.org/10.1109/tro.2024.3352969/mm1,component,Crossref,4,tactile;contact;manipulation;dynamics
contact rich manipulation state estimation,Tactile Sensor-based Estimation of Grasp Force and Contact State with Soft Fingers_supp1-3568616.mp4,None,,Kevin Haninger,10.1109/lra.2025.3568616/mm1,https://doi.org/10.1109/lra.2025.3568616/mm1,component,Crossref,4,tactile;contact;manipulation
force tactile proprioceptive manipulation,An embedded tactile and force sensor for robotic manipulation and grasping,None,"5th IEEE-RAS International Conference on Humanoid Robots, 2005.",G. Cannata; M. Maggiali,10.1109/ichr.2005.1573549,https://doi.org/10.1109/ichr.2005.1573549,proceedings-article,Crossref,4,tactile;contact;manipulation
force tactile proprioceptive manipulation,A force-reflecting teleoperated hand system for the study of tactile sensing in precision manipulation,None,Proceedings 1992 IEEE International Conference on Robotics and Automation,R.D. Howe,10.1109/robot.1992.220166,https://doi.org/10.1109/robot.1992.220166,proceedings-article,Crossref,4,tactile;contact;manipulation
object pose contact state estimation manipulation,Simultaneous Extrinsic Contact and In-Hand Pose Estimation via Distributed Tactile Sensing_supp1-3653324.mp4,None,,Mark Van der Merwe,10.1109/lra.2026.3653324/mm1,https://doi.org/10.1109/lra.2026.3653324/mm1,component,Crossref,4,tactile;contact;manipulation;dynamics
micro slip dexterous manipulation,Dexterous Pre-grasp Manipulation for Human-like Functional Categorical Grasping: Deep Reinforcement Learning and Grasp Representations_supp1-3541768.mp4,None,,Dmytro Pavlichenko,10.1109/tase.2025.3541768/mm1,https://doi.org/10.1109/tase.2025.3541768/mm1,component,Crossref,4,contact;manipulation
micro slip dexterous manipulation,SA-DEM: Dexterous Extrinsic Robotic Manipulation of Non-Graspable Objects via Stiffness-Aware Dual-Stage Reinforcement Learning_supp1-3634725.mp4,None,,Huixu Dong,10.1109/tase.2025.3634725/mm1,https://doi.org/10.1109/tase.2025.3634725/mm1,component,Crossref,4,contact;manipulation
robotic hand slip estimation tactile,In-Hand Object Classification and Pose Estimation With Sim-to-Real Tactile Transfer for Robotic Manipulation_supp1-3334971.mp4,None,,Jung Kim,10.1109/lra.2023.3334971/mm1,https://doi.org/10.1109/lra.2023.3334971/mm1,component,Crossref,4,tactile;manipulation;dynamics
robotic hand slip estimation tactile,A Multi-Fingered Robotic Hand With Fiber-Optic Force and Tactile Sensing for Remote Manipulation_supp1-3645962.mp4,None,,Yong-Lae Park,10.1109/tro.2025.3645962/mm1,https://doi.org/10.1109/tro.2025.3645962/mm1,component,Crossref,4,tactile;contact;manipulation
tactile object recognition manipulation,Tactile sensor based manipulation of an unknown object by a multifingered hand with rolling contact,None,Proceedings of 1995 IEEE International Conference on Robotics and Automation,H. Maekawa; K. Tanie; K. Komoriya,10.1109/robot.1995.525372,https://doi.org/10.1109/robot.1995.525372,proceedings-article,Crossref,4,tactile;contact;manipulation
tactile object recognition manipulation,Manipulation Of An Unknown Object By Multifingered Hands With Roll@ Contact Using Tactile ~eedbaclc,None,Proceedings of the IEEE/RSJ International Conference on Intelligent Robots and Systems,H. Maekawa; K. Komoriya; K. Tanie,10.1109/iros.1992.601506,https://doi.org/10.1109/iros.1992.601506,proceedings-article,Crossref,4,tactile;contact;manipulation
force estimation robot hand,Development of a flexible structural contact force sensor for a grasping task by robot hand,None,"IEEE International Conference on Industrial Technology, 2003",N. Saito; S. Kajikawa; H. Okano,10.1109/icit.2003.1290254,https://doi.org/10.1109/icit.2003.1290254,proceedings-article,Crossref,4,contact;manipulation
tactile servoing grasping,A Bioinspired 3D Tactile Force Sensor under Deep-Sea High Hydrostatic Pressure Environments for Underwater Robotic Adaptive Grasping,None,,,10.1021/acsami.5c20573.s001,https://doi.org/10.1021/acsami.5c20573.s001,component,Crossref,4,tactile;contact;manipulation
tactile servoing grasping,Tracing Energy Flow: Learning Tactile-Based Grasping Force Control to Reduce Slippage in Dynamic Object Interaction_supp1-3640979.mp4,None,,Cheng-Yu Kuo,10.1109/lra.2025.3640979/mm1,https://doi.org/10.1109/lra.2025.3640979/mm1,component,Crossref,4,slip;tactile;contact;manipulation
micro slip tactile manipulation,FORTE: Tactile Force and Slip Sensing on Compliant Fingers for Delicate Manipulation,2026,IEEE Robotics and Automation Letters,Siqi Shang; Mingyo Seo; Yuke Zhu; Lillian Chin,10.1109/lra.2026.3662618,https://doi.org/10.1109/lra.2026.3662618,journal-article,Crossref,4,slip;tactile;contact;manipulation
contact state estimation dexterous manipulation,Adaptive Visual-Tactile Fusion for Contact-Rich Dexterous Manipulation,2026,IEEE Robotics and Automation Letters,Zedong Cai; Chuan Liu; Siyuan Li; Peng Liu,10.1109/lra.2026.3681124,https://doi.org/10.1109/lra.2026.3681124,journal-article,Crossref,4,tactile;contact;manipulation
contact state estimation dexterous manipulation,The ANTERO Gripper: Design Optimization and Contact-Force Estimation for Safe Human Limb Manipulation,2026,,Alexander Ambrose; Jacob Tomczeszyn; Luis Sentis,10.2139/ssrn.6885697,https://doi.org/10.2139/ssrn.6885697,posted-content,Crossref,4,contact;manipulation
contact rich manipulation state estimation,PoCoDP3: Pose- and Contact-Aware Visual-Tactile Policy for Contact-Rich 3D Manipulation,2026,IEEE Robotics and Automation Letters,Zhaokun Yue; Ling Tong; Kun Qian,10.1109/lra.2026.3653314,https://doi.org/10.1109/lra.2026.3653314,journal-article,Crossref,4,tactile;contact;manipulation;dynamics
robot grasp tactile sensing,Stable Grasp Control for a Tactile-Sensing Dexterous Hand with IQPSO-FPID,2026,"Journal of Control, Automation and Electrical Systems",Zhen Li; Peng Zhang; Huazhen Chu; Zhenxue Chen,10.1007/s40313-026-01297-3,https://doi.org/10.1007/s40313-026-01297-3,journal-article,Crossref,4,tactile;manipulation
robot tactile feedback manipulation,Tactile-reactive gripper with an active palm for dexterous manipulation,2026,npj Robotics,Yuhao Zhou; Won Suk Lee; Yan Gu; Yu She,10.1038/s44182-026-00079-y,https://doi.org/10.1038/s44182-026-00079-y,journal-article,Crossref,4,tactile;manipulation
dexterous grasp pose estimation,Dexterous Pre-Grasp Manipulation for Human-Like Functional Categorical Grasping: Deep Reinforcement Learning and Grasp Representations,2026,IEEE Transactions on Automation Science and Engineering,Dmytro Pavlichenko; Sven Behnke,10.1109/tase.2025.3541768,https://doi.org/10.1109/tase.2025.3541768,journal-article,Crossref,4,contact;manipulation
proprioceptive tactile sensing robot hand,Simultaneous Extrinsic Contact and In-Hand Pose Estimation via Distributed Tactile Sensing,2026,IEEE Robotics and Automation Letters,Mark Van der Merwe; Kei Ota; Dmitry Berenson; Nima Fazeli; Devesh K. Jha,10.1109/lra.2026.3653324,https://doi.org/10.1109/lra.2026.3653324,journal-article,Crossref,4,tactile;contact;manipulation;dynamics
proprioceptive tactile sensing robot hand,A Multifingered Robotic Hand With Fiber-Optic Force and Tactile Sensing for Remote Manipulation,2026,IEEE Transactions on Robotics,Jaehyun Yi; Wook Joon Chung; Jeongwon Lee; Hamza Muzammal; Jeonghun Park; Young Soo Park; Yong-Lae Park,10.1109/tro.2025.3645962,https://doi.org/10.1109/tro.2025.3645962,journal-article,Crossref,4,tactile;contact;manipulation
micro slip tactile manipulation,Slip-actuated bionic tactile sensing system with dynamic DC generator integrated E-textile for dexterous robotic manipulation,2025,Nature Communications,Vashin Gautham; Ashutosh Panpalia; Hamid Manouchehri; Krushang Khimjibhai Gabani; Vinoop Anil; Shakunthala Yerneni; Rohit Thakar; Aayush Nayyar,10.1038/s41467-025-61843-6,https://doi.org/10.1038/s41467-025-61843-6,journal-article,Crossref,4,slip;tactile;manipulation
contact state estimation dexterous manipulation,Dexterous Manipulation Based on Prior Dexterous Grasp Pose Knowledge,2025,2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),Hengxu Yan; Haoshu Fang; Cewu Lu,10.1109/iros60139.2025.11247095,https://doi.org/10.1109/iros60139.2025.11247095,proceedings-article,Crossref,4,manipulation;dynamics
contact state estimation dexterous manipulation,Geodesic Tracing-Based Kinematic Integration of Rolling and Sliding Contact on Manifold Meshes for Dexterous in-Hand Manipulation,2025,2025 IEEE-RAS 24th International Conference on Humanoid Robots (Humanoids),Sunyu Wang; Arjun S. Lakshmipathy; Jean Oh; Nancy S. Pollard,10.1109/humanoids65713.2025.11203073,https://doi.org/10.1109/humanoids65713.2025.11203073,proceedings-article,Crossref,4,contact;manipulation
contact rich manipulation state estimation,PolyTouch: A Robust Multi-Modal Tactile Sensor for Contact-Rich Manipulation Using Tactile-Diffusion Policies,2025,2025 IEEE International Conference on Robotics and Automation (ICRA),Jialiang Zhao; Naveen Kuppuswamy; Siyuan Feng; Benjamin Burchfiel; Edward Adelson,10.1109/icra55743.2025.11128816,https://doi.org/10.1109/icra55743.2025.11128816,proceedings-article,Crossref,4,tactile;contact;manipulation
force tactile proprioceptive manipulation,GeoDEx: A Unified Geometric Framework for Tactile Dexterous and Extrinsic Manipulation under Force Uncertainty,2025,Robotics: Science and Systems XXI,Sirui Chen; Sergio Marinovic; Soshi Iba; Rana Zarrin,10.15607/rss.2025.xxi.057,https://doi.org/10.15607/rss.2025.xxi.057,proceedings-article,Crossref,4,tactile;contact;manipulation
force tactile proprioceptive manipulation,Trajectory Optimization for In-Hand Manipulation with Tactile Force Control,2025,2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),Haegu Lee; Yitaek Kim; Victor Melbye Staven; Christoffer Sloth,10.1109/iros60139.2025.11246500,https://doi.org/10.1109/iros60139.2025.11246500,proceedings-article,Crossref,4,tactile;contact;manipulation
force tactile proprioceptive manipulation,Adaptive Visuo-Tactile Fusion with Predictive Force Attention for Dexterous Manipulation,2025,2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),Jinzhou Li; Tianhao Wu; Jiyao Zhang; Zeyuan Chen; Haotian Jin; Mingdong Wu; Yujun Shen; Yaodong Yang,10.1109/iros60139.2025.11246476,https://doi.org/10.1109/iros60139.2025.11246476,proceedings-article,Crossref,4,tactile;contact;manipulation
latent state manipulation tactile sensing,"TACSEM: Tactile Sensing, 3-D State Estimation and In-Hand Manipulation of a Soft Hand",2025,IEEE/ASME Transactions on Mechatronics,Hui Zhang; Qingyu Wang; Aiguo Song; Jianwei Lai; Daolin Ma; Can Zhao; Ge Gao; Qingdu Li,10.1109/tmech.2025.3632966,https://doi.org/10.1109/tmech.2025.3632966,journal-article,Crossref,4,tactile;state;manipulation
robotic hand slip estimation tactile,ViTaSCOPE: Visuo-tactile Implicit Representation for In-hand Pose and Extrinsic Contact Estimation,2025,Robotics: Science and Systems XXI,Jayjun Lee; Nima Fazeli,10.15607/rss.2025.xxi.054,https://doi.org/10.15607/rss.2025.xxi.054,proceedings-article,Crossref,4,tactile;contact;manipulation;dynamics
robot grasp tactile sensing,Tactile Sensor-Based Estimation of Grasp Force and Contact State With Soft Fingers,2025,IEEE Robotics and Automation Letters,Hun Jang; Joonbum Bae; Kevin Haninger,10.1109/lra.2025.3568616,https://doi.org/10.1109/lra.2025.3568616,journal-article,Crossref,4,tactile;contact;manipulation
